location,positionName,minimum salary,maximum salary, average salary ,searchInput/country,searchInput/position,city name,salary_status
"St. Louis, MO 63101",IT - Clinical Informaticist Product Development,61.24,64," $1,31,040.00 ",United States of America,Data Scientist,St. Louis,Available
"Washington, DC","Senior Applied Scientist, AI (FULLY REMOTE-USA)","1,39,840","2,40,350"," $1,90,095.00 ",United States of America,Data Scientist,Washington,Available
"Ashburn, VA 20147",Senior Data Analyst,,,,United States of America,Data Scientist,Ashburn,Missing
"Long Beach, CA","Assistant Director, Student Success Dashboard Data Scientist"," Up to   135,000   ",," $1,35,000.00 ",United States of America,Data Scientist,Long Beach,Available
"Atlanta, GA",Principal Machine Learning Engineer,,,,United States of America,Data Scientist,Atlanta,Missing
United States,Medical Economics Data Analyst,,,,United States of America,Data Scientist,United States,Missing
"Los Alamos, NM",Acoustic Signal Processing Machine Learning Postdoc,,,,United States of America,Data Scientist,Los Alamos,Missing
"Austin, TX","Data Center Mechanical Engineer - Sunnyvale, Austin or Kirkland","1,44,000","2,11,000"," $1,77,500.00 ",United States of America,Data Scientist,Austin,Available
United States,Data Scientist,,,,United States of America,Data Scientist,United States,Missing
"Washington, DC","Director, Data Science",,,,United States of America,Data Scientist,Washington,Missing
"Overland Park, KS 66251",Sr. Data Scientist,"1,06,000","1,91,100"," $1,48,550.00 ",United States of America,Data Scientist,Overland Park,Available
"Houston, TX 77042","Sr. Manager, AI Strategy & Implementation",,,,United States of America,Data Scientist,Houston,Missing
"Alpharetta, GA 30004",Natural Language (NL) Data Scientist,85,110," $2,03,840.00 ",United States of America,Data Scientist,Alpharetta,Available
"New York, NY 10011","Sr. Data Scientist, Product Analytics - (e-commerce)","1,73,500","2,13,100"," $1,93,300.00 ",United States of America,Data Scientist,New York,Available
Remote,ML Engineer w/USC/GC/H4EAD,60,65," $1,31,040.00 ",United States of America,Data Scientist,Remote,Available
"Fort Meade, MD 20755",Data Scientist Skill Level 1,"70,000","1,00,000"," $85,000.00 ",United States of America,Data Scientist,Fort Meade,Available
"New York, NY 10007",Senior Data Analyst,65,70," $1,41,440.00 ",United States of America,Data Scientist,New York,Available
"Baton Rouge, LA 70808",Senior Audit Data Analyst,,,,United States of America,Data Scientist,Baton Rouge,Missing
"Arlington, VA 22201",Data Scientist,,,,United States of America,Data Scientist,Arlington,Missing
"Dallas, TX",Sr Data Analyst,51,," $1,06,080.00 ",United States of America,Data Scientist,Dallas,Available
"Irving, NY","Senior Quantitative Analytics Specialist - R&D GenAI, Agentic AI and ML","1,11,100","2,37,100"," $1,74,100.00 ",United States of America,Data Scientist,Irving,Available
"San Francisco, CA",AI/Automation Engineer,,,,United States of America,Data Scientist,San Francisco,Missing
"Boston, MA",AI Engineer,,,,United States of America,Data Scientist,Boston,Missing
"Collegeville, PA 19426","Product Director, Central Monitoring & Data Analytics",,,,United States of America,Data Scientist,Collegeville,Missing
Remote,"Lead Consultant, Machine Learning Engineer",,,,United States of America,Data Scientist,Remote,Missing
"Charlotte, NC 28202",Sr. Data Analyst- Traded Products,,,,United States of America,Data Scientist,Charlotte,Missing
"Sunnyvale, CA","Data Scientist, Product Analytics","1,40,400","1,66,100"," $1,53,250.00 ",United States of America,Data Scientist,Sunnyvale,Available
United States,Senior AI Engineer,,,,United States of America,Data Scientist,United States,Missing
"Aberdeen, MD 21001",Data Scientist,,,,United States of America,Data Scientist,Aberdeen,Missing
"Richardson, TX 75081",Gen AI Engineering Manager,"90,000","1,44,000"," $1,17,000.00 ",United States of America,Data Scientist,Richardson,Available
"Chicago, IL",Systematic Trading - Senior Data Scientist,,,,United States of America,Data Scientist,Chicago,Missing
"San Francisco, CA","Senior Data Scientist, Analytics (Growth)","1,50,000","2,30,000"," $1,90,000.00 ",United States of America,Data Scientist,San Francisco,Available
"Chantilly, VA","Data Engineer, TS/SCI FSP","1,35,000","1,70,000"," $1,52,500.00 ",United States of America,Data Scientist,Chantilly,Available
"Grand Rapids, MI 49525",Principal Data Scientist,,,,United States of America,Data Scientist,Grand Rapids,Missing
"Anacostia, DC",Data Scientist,"1,07,000","1,15,000"," $1,11,000.00 ",United States of America,Data Scientist,Anacostia,Available
"New York, NY 10013",Lead Machine Learning Engineer,"1,75,800","2,35,700"," $2,05,750.00 ",United States of America,Data Scientist,New York,Available
"Irvine, CA",Senior Statistician - NV,"1,18,400","1,77,600"," $1,48,000.00 ",United States of America,Data Scientist,Irvine,Available
"New York, NY 10172",AI Governance Lead,"1,63,000","2,60,000"," $2,11,500.00 ",United States of America,Data Scientist,New York,Available
